"","BASKETID","BASKETTYPE","DIRECTION","LOCATION_DESCRIPTION","OWNERTYPE","SECTION","STATEPLANE_LABELX","STATEPLANE_LABELY","STATEPLANE_SNAPPEDX","STATEPLANE_SNAPPEDY","STREETNAME1","STREETNAME2","OBJECTID","point"
"3",10720061,"H","SW","SW corner of COLUMBUS AV and W 80 ST","B","MN072",991103.34782998,224397.89016472,991140.1072709,224403.48825063,"COLUMBUS AV","W 80 ST",5689,"POINT (-73.9752530707 40.7825938981)"
"4",10630050,"H","NE","NE corner of 3 AV and E 52 ST","B","MN063",992686.87583089,215111.26044405,992645.43267231,215099.39235754,"3 AV","E 52 ST",5285,"POINT (-73.9695467272 40.7571031488)"
"5",10110042,"H","","","P","MN011",979735.63696964,198413.84469196,NA,NA,"","",4666,"POINT (-74.0162835878 40.7112757283)"
"16",10720184,"H","Direction TBD","Location Description T/K","B","MN072",989912.73899072,224712.40692413,989929.45006112,224743.1681483,"Street Name TBD","",8126,"POINT (-73.9795520054 40.783458006)"
"17",10420027,"H","Direction TBD","Location Description T/K","B","MN042",985752.90971197,212905.33276931,985782.94016809,212888.71578589,"Street Name TBD","",858,"POINT (-73.9945756744 40.7510523351)"
"20",10610222,"H","NE","NE corner of PARK AV S and E 20 ST","B","MN061",987740.90540789,208285.03590755,987693.14598897,208263.13634504,"PARK AV S","E 20 ST",78849,"POINT (-73.987402967 40.7383702152)"
"24",40610083,"H","E","E corner of QUEENS BLVD and 67 DR","D","QW061",1025517.37939548,203867.48995264,1025445.56982781,203884.8508103,"QUEENS BLVD","67 DR",11445,"POINT (-73.8511127056 40.7261495645)"
"25",41210070,"H","N","N corner of JAMAICA AV and 163 ST","B","QE121",1040618.89249948,196152.25702354,1040596.88959073,196116.6616223,"JAMAICA AV","163 ST",13541,"POINT (-73.7966931999 40.7048898107)"
"39",31040041,"H","N","N corner of BAY RIDGE PKWY and 13 AV","D","BKS104",982185.1035274,165346.08208747,982188.74754898,165309.51162255,"BAY RIDGE PKWY","13 AV",15168,"POINT (-74.0074380818 40.6205129864)"
"46",10430259,"H","Direction TBD","Location Description T/K","B","MN043",988013.70046598,217726.84838872,987986.4040114,217677.91052199,"Street Name TBD","",1465,"POINT (-73.9864132936 40.7642854908)"
"50",10850010,"H","NE","NE corner of MADISON AV and E 89 ST","B","MN085",996121.69507673,224486.81387138,996082.01667839,224472.01173563,"MADISON AV","E 89 ST",4418,"POINT (-73.9571320372 40.782832654)"
"53",11010213,"H","SE","SE corner of FREDERICK DOUGLASS BOULEVARD and W 111 ST","B","MN101",995986.26457331,231111.4105303,995977.72226757,231160.96817397,"FREDERICK DOUGLASS BOULEVARD","W 111 ST",21881,"POINT (-73.9576094924 40.8010155648)"
"62",10510566,"H","Direction TBD","Location Description T/K","B","MN051",987673.49346922,210704.34438913,987653.29917689,210668.36806152,"Street Name TBD","",2296,"POINT (-73.9876449935 40.7450106407)"
"66",30820048,"H","SW","SW corner of NOSTRAND AV and PACIFIC ST","D","BKN082",998129.38102198,186112.28432138,998157.18345982,186147.6165998,"NOSTRAND AV","PACIFIC ST",22022,"POINT (-73.9499615625 40.6775010669)"
"74",10810244,"H","SE","SE corner of 3 AV and E 61 ST","B","MN081",993790.1236244,217117.06220672,993785.07606231,217153.36790839,"3 AV","E 61 ST",3657,"POINT (-73.96556166 40.7626074387)"
"82",10410176,"H","NW","NW corner of 8 AV and W 14 ST","B","MN041",983461.31127681,208900.69445314,983531.19237064,208833.47313088,"8 AV","W 14 ST",840,"POINT (-74.0028460783 40.740060699)"
"84",50130151,"H","NW","NW corner of POST AV and JEWETT AV","D","SI013",947957.40918764,169255.84624955,948004.8195259,169188.17545313,"POST AV","JEWETT AV",13914,"POINT (-74.1307525438 40.6311703633)"
"90",10430395,"H","NW","NW corner of W 41 ST and DYER AV","P","MN043",985782.42441672,215649.67603388,985790.69867839,215606.82900672,"W 41 ST","DYER AV",56319,"POINT (-73.994468524 40.7585848546)"
"96",10510516,"H","Direction TBD","Location Description T/K","B","MN051",986614.6793139,212927.01284406,986638.17463509,212969.55486038,"Street Name TBD","",2218,"POINT (-73.9914653543 40.751111653)"
"101",40230017,"H","S","S corner of COURT SQ and JACKSON AVE","B","QW023",999727.49823256,211108.29600905,999753.93190673,211202.4779073,"COURT SQ","JACKSON AVE",14604,"POINT (-73.9441425111 40.7461065048)"
"103",10230078,"H","NE","NE corner of AVE OF THE AMERICAS and W 13 ST","B","MN023",985068.97013497,207676.84158589,985027.75105731,207666.30354922,"AVE OF THE AMERICAS","W 13 ST",479,"POINT (-73.9970447966 40.7367015234)"
"105",10110107,"H","N","N corner of WATER ST and COENTIES SLIP","B","MN011",981419.33668622,195572.58757922,981418.03058648,195539.59551922,"WATER ST","COENTIES SLIP",5431,"POINT (-74.010209184 40.7034778479)"
"107",10510259,"H","NW","NW corner of MADISON AV and E 31 ST","B","MN051",988569.18754397,211097.79274921,988575.39488064,211045.50282755,"MADISON AV","E 31 ST",1781,"POINT (-73.9844122808 40.7460901657)"
"113",40230106,"H","NE","NE corner of GREENPOINT AV and 44 ST","D","QW023",1006208.32319739,209478.11423005,1006181.34096789,209427.79280838,"GREENPOINT AV","44 ST",8468,"POINT (-73.9207588827 40.7416183474)"
"123",20510048,"H","NE","NE corner of UNIVERSITY AVE and W 181 ST","O","BX051",1009325.90456064,251640.96133463,1009302.94200814,251618.87017147,"UNIVERSITY AVE","W 181 ST",23060,"POINT (-73.9093510038 40.8573354878)"
"124",40220006,"H","NE","NE corner of QUEENS BLVD and 45 ST","B","QW022",1006612.42737606,210212.5704383,1006552.44521256,210164.46161063,"QUEENS BLVD","45 ST",16311,"POINT (-73.9192981488 40.743633233)"
"127",10630081,"H","NW","NW corner of SUTTON PL S and E 55 ST","B","MN063",994863.87836665,214804.99662088,994863.16445731,214766.61415172,"SUTTON PL S","E 55 ST",2816,"POINT (-73.9616892256 40.7562601875)"
"136",10520149,"H","Direction TBD","Location Description T/K","B","MN052",989652.6712694,215174.27573797,989674.26117333,215213.14652654,"Street Name TBD","",2154,"POINT (-73.9804987703 40.7572784844)"
"137",10340209,"H","NE","NE corner of 3 AV and ST MARKS PLACE","B","MN034",987166.47611056,205050.0728893,987088.72790648,205064.22542004,"3 AV","ST MARKS PLACE",56308,"POINT (-73.9894772139 40.729491246)"
"140",10620011,"H","NW","NW corner of 2 AV and E 42 ST","B","MN062",991929.97380139,212546.65336855,991933.26546148,212505.84767588,"2 AV","E 42 ST",4499,"POINT (-73.9722817272 40.7500646433)"
