cd,mhhi,binsper100k
308,83969,276
205,37820,174
311,64676,152
410,94659,141
203,33542,217
206,31173,343
105,162209,2285
210,67384,199
412,74870,186
104,109674,696
107,136293,419
302,135874,608
303,73145,312
304,78824,278
309,71459,300
503,112707,136
106,148400,499
101,200000,948
301,94790,217
109,64556,449
108,143941,556
207,43984,226
317,65544,226
201,29005,356
306,162768,417
307,82730,246
406,96263,185
212,62341,156
202,38580,248
211,65091,211
409,84590,237
408,84228,166
411,102023,190
305,51277,150
316,37880,283
413,105810,151
208,73352,250
112,63779,463
414,69583,256
312,62458,178
314,75021,161
315,74077,217
110,58647,424
204,40485,212
313,45075,214
310,85042,357
501,85858,335
502,93990,156
111,37503,367
401,86830,230
209,50000,122
407,69719,157
102,150643,1147
103,54473,441
402,89480,233
405,86884,91
403,73666,156
404,66148,107
318,85155,102
